# LEAFSHADELIMITDEMO Q2 Shade Limit Angle forward/inverse live-smoke
# cross_axis_m=2.1 (matches Q10/loop-11 fixture)
# block=A: external anchors (Lorenzo 2011 Eq.6 + trig identity)
# block=B: forward-inverse round-trip grid
# block=C: AutoCalculate Boulder solstice anchors
block,label,gcr_in,tilt_deg,sla_target_deg,max_gcr,sla_reconstructed_deg,min_pitch_m,sun_elev_deg,sun_az_deg,is_daytime
A,Anchor_GCR_0.5_Tilt_60,0.500000000000,60.000000,30.000000000000,0.500000000000,30.000000000000,4.200000000,,,
A,Anchor_GCR_InvRoot2_Tilt_45,0.707106781187,45.000000,45.000000000000,0.707106781187,45.000000000000,2.969848481,,,
A,Anchor_GCR_Root3Over2_Tilt_30,0.866025403784,30.000000,60.000000000000,0.866025403784,60.000000000000,2.424871131,,,
B,RoundTrip_SLA10_Tilt30,,30.000000,10.000000000000,0.270148607487,10.000000000000,7.773499259,,,
B,RoundTrip_SLA20_Tilt30,,30.000000,20.000000000000,0.446475588196,20.000000000000,4.703504638,,,
B,RoundTrip_SLA30_Tilt30,,30.000000,30.000000000000,0.577350269190,30.000000000000,3.637306696,,,
B,RoundTrip_SLA40_Tilt30,,30.000000,40.000000000000,0.684040286651,40.000000000000,3.069994620,,,
B,RoundTrip_SLA50_Tilt30,,30.000000,50.000000000000,0.777861913430,50.000000000000,2.699707961,,,
B,RoundTrip_SLA10_Tilt45,,45.000000,10.000000000000,0.211985282681,10.000000000000,9.906348089,,,
B,RoundTrip_SLA20_Tilt45,,45.000000,20.000000000000,0.377377473986,20.000000000000,5.564720061,,,
B,RoundTrip_SLA30_Tilt45,,45.000000,30.000000000000,0.517638090205,30.000000000000,4.056888470,,,
B,RoundTrip_SLA40_Tilt45,,45.000000,40.000000000000,0.645242953930,40.000000000000,3.254588039,,,
B,RoundTrip_SLA50_Tilt45,,45.000000,50.000000000000,0.768970608443,50.000000000000,2.730923623,,,
B,RoundTrip_SLA10_Tilt60,,60.000000,10.000000000000,0.184792530904,10.000000000000,11.364095668,,,
B,RoundTrip_SLA20_Tilt60,,60.000000,20.000000000000,0.347296355334,20.000000000000,6.046709007,,,
B,RoundTrip_SLA30_Tilt60,,60.000000,30.000000000000,0.500000000000,30.000000000000,4.200000000,,,
B,RoundTrip_SLA40_Tilt60,,60.000000,40.000000000000,0.652703644666,40.000000000000,3.217386661,,,
B,RoundTrip_SLA50_Tilt60,,60.000000,50.000000000000,0.815207469096,50.000000000000,2.576031354,,,
C,AutoCalc_Boulder_WinterNoon_2025,,60.000000,26.578083466303,0.448216165451,,4.685239315,26.578083,180.557655,1
C,AutoCalc_Boulder_SummerNoon_2025,,60.000000,73.449684962135,1.000000000000,,2.100000000,73.449685,178.933453,1
