Fixture,Model,Direct,SkyDiffuse,GroundDiffuse,Global
F1_CLEAR_NOON,Isotropic,900,93.30127018922194,11.782032302755086,1005.083302491977
F1_CLEAR_NOON,HDKR,900,108.33863248174592,11.782032302755086,1020.120664784501
F1_CLEAR_NOON,Perez,900,113.41384942244291,11.782032302755086,1025.195881725198
F2_OVERCAST,Isotropic,0,279.9038105676658,4.019237886466839,283.92304845413264
F2_OVERCAST,HDKR,0,279.9038105676658,4.019237886466839,283.92304845413264
F2_OVERCAST,Perez,0,279.0508975703097,4.019237886466839,283.07013545677654
F3_LOW_SUN,Isotropic,60.15349327217415,139.9519052838329,2.9401967226932215,203.0455952787003
F3_LOW_SUN,HDKR,60.15349327217415,137.86530334117765,2.9401967226932215,200.95899333604504
F3_LOW_SUN,Perez,60.15349327217415,136.6798231351197,2.9401967226932215,199.7735131299871
F4_STEEP_TILT,Isotropic,636.3961030678927,62.940952255126035,65.18114776579307,764.5182030888118
F4_STEEP_TILT,HDKR,636.3961030678927,79.80485139302142,65.18114776579307,781.3821022267072
F4_STEEP_TILT,Perez,636.3961030678927,89.26239136190233,65.18114776579307,790.8396421955881
F5_PARTLY,Isotropic,472.3019739450659,186.60254037844388,7.416209198848874,666.3207235223587
F5_PARTLY,HDKR,472.3019739450659,218.66973792545022,7.416209198848874,698.387921069365
F5_PARTLY,Perez,472.3019739450659,240.09748028734177,7.416209198848874,719.8156634312566
F6_DHI_ZERO,Isotropic,900,0,10.442286340599473,910.4422863405995
F6_DHI_ZERO,HDKR,900,0,10.442286340599473,910.4422863405995
F6_DHI_ZERO,Perez,900,0,10.442286340599473,910.4422863405995
